Image Name,Z-level,Pouch Height,Clone Genotype,Clone ID,Clone Area,Border Area,Center Area,Caspase Coverage,Caspase Border,Caspase Center,Clone Fluorescence IntDen,Center Fluorescence IntDen,Border Fluorescence IntDen
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,2,14,1,1,2.255,32.231,0.000,0.000,0.000,0.000,28.084,0.000,1255.936
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,2,14,1,2,32.231,641.865,633.207,8.658,56.096,0.000,1255.936,55591.803,56578.392
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,3,14,1,2,56.096,684.137,670.386,13.751,69.483,0.000,5573.499,59073.749,60771.322
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,4,14,1,2,69.483,733.612,719.060,14.551,71.375,0.000,7325.203,61727.352,63676.084
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,5,14,1,2,71.375,764.097,741.106,22.991,60.534,0.000,8230.741,64560.958,67406.859
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,6,14,1,2,60.534,799.530,769.190,30.340,49.329,0.000,7386.902,67671.986,71489.998
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,7,14,1,2,49.329,823.030,794.873,28.157,22.264,0.000,5459.634,68162.370,71704.559
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,8,14,1,2,22.264,844.494,817.355,27.138,17.607,0.000,2351.588,69030.365,71976.598
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,9,14,1,2,17.607,858.172,827.032,31.140,11.859,0.000,1390.392,68072.588,71771.787
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,10,14,1,2,11.859,855.044,824.195,30.849,8.658,0.000,656.271,67394.054,71223.415
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,11,14,1,2,8.658,835.545,816.409,19.135,3.565,0.000,406.859,67522.907,69927.608
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,12,14,1,2,3.565,843.912,827.905,16.007,6.257,0.000,514.685,68649.553,70476.634
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - ref2pRNAi_020,13,14,1,2,6.257,845.149,830.452,14.697,5.602,0.000,881.454,69519.439,71217.594
