File,Image Name,Z level,Not Clones Area,Caspase Area,Not Clones Caspase Area,Pouch Area<Losers_[Genotype:1]>,Clone Area<Losers_[Genotype:1]>,Border Area<Losers_[Genotype:1]>,Center Area<Losers_[Genotype:1]>,Border Caspase<Losers_[Genotype:1]>,Center Caspase<Losers_[Genotype:1]>,Clone Caspase<Losers_[Genotype:1]>,Total Number of ClonesGenotype_1,Total Caspase CellsGenotype_1,Caspase Count in BorderGenotype_1,Caspase Count in CenterGenotype_1,Total Cell countGenotype_1,Cell Count in BorderGenotype_1,Cell Count in CenterGenotype_1
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,9,13382.320,3.492,0.728,17372.475,3990.228,3983.752,6.475,2.765,0.000,2.765,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,10,13394.616,3.711,0.000,17372.475,3977.932,3972.111,5.821,3.711,0.000,3.711,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,11,13366.022,1.746,0.000,17372.475,4006.525,3998.304,8.222,1.746,0.000,1.746,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,12,13447.656,3.420,0.000,17372.475,3924.892,3916.379,8.513,3.420,0.000,3.420,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,13,13450.057,16.007,2.547,17372.475,3922.491,3916.088,6.403,13.460,0.000,13.460,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,14,13492.475,30.049,6.403,17372.475,3880.000,3868.796,11.205,23.646,0.000,23.646,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,15,13470.138,30.485,2.765,17372.475,3902.337,3882.474,19.863,27.721,0.000,27.721,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,16,13395.271,60.461,5.384,17372.475,3977.277,3954.140,23.137,55.077,0.000,55.077,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,17,13421.391,174.399,24.010,17372.475,3951.084,3931.003,20.081,142.532,7.858,150.389,13,44,33,0,907,900,4
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_008,18,13490.510,267.674,54.131,17372.475,3881.965,3865.958,16.007,201.465,12.078,213.543,13,44,33,0,907,900,4
