File,Image Name,Z level,Not Clones Area,Caspase Area,Not Clones Caspase Area,Pouch Area<Losers_[Genotype:1]>,Clone Area<Losers_[Genotype:1]>,Border Area<Losers_[Genotype:1]>,Center Area<Losers_[Genotype:1]>,Border Caspase<Losers_[Genotype:1]>,Center Caspase<Losers_[Genotype:1]>,Clone Caspase<Losers_[Genotype:1]>,Total Number of ClonesGenotype_1,Total Caspase CellsGenotype_1,Caspase Count in BorderGenotype_1,Caspase Count in CenterGenotype_1,Total Cell countGenotype_1,Cell Count in BorderGenotype_1,Cell Count in CenterGenotype_1
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,5,12980.409,75.959,22.045,21098.448,8118.331,7066.115,1052.216,53.913,0.000,53.913,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,6,12880.076,84.981,26.484,21098.448,8217.935,7101.984,1115.951,58.497,0.000,58.497,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,7,12858.831,95.894,34.341,21098.448,8239.035,7071.135,1167.900,61.553,0.000,61.553,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,8,12660.641,118.085,37.688,21098.448,8437.153,7135.525,1301.628,80.397,0.000,80.397,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,9,12531.351,138.966,24.592,21098.448,8566.370,7175.542,1390.901,114.374,0.000,114.374,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,10,12386.418,139.621,11.132,21098.448,8711.302,7233.456,1477.919,128.489,0.000,128.489,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,11,12274.154,159.193,5.966,21098.448,8824.222,7291.589,1532.632,153.227,0.000,153.227,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,12,12167.710,198.045,8.949,21098.448,8930.447,7353.215,1577.232,187.350,1.746,189.096,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,13,11918.734,214.852,12.369,21098.448,9179.787,7556.644,1623.142,200.301,2.183,202.484,4,64,45,0,3483,2649,822
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - yw_004,14,11679.509,240.390,21.245,21098.448,9419.085,7756.290,1662.795,217.763,1.382,219.145,4,64,45,0,3483,2649,822
